model_key,model,dataset,condition,pressure_type,metric,estimate,ci_low,ci_high,n_bootstrap,seed
llama31_8b,Llama-3.1-8B,mmlu_pro,cctp_logit_linear_min_alpha,wrong_pressure,mean_history_retention,0.4,0.3730955,0.426567,1000,42
llama31_8b,Llama-3.1-8B,mmlu_pro,cctp_logit_linear_min_alpha,wrong_pressure,fraction_alpha_le_050,0.314,0.276,0.354,1000,42
llama31_8b,Llama-3.1-8B,mmlu_pro,cctp_logit_linear_min_alpha,wrong_pressure,fraction_alpha_eq_1,0.048,0.032,0.06604999999999996,1000,42
llama31_8b,Llama-3.1-8B,mmlu_pro,cctp_logit_linear_min_alpha,wrong_pressure,clean_like_rate,1.0,1.0,1.0,1000,42
llama31_8b,Llama-3.1-8B,mmlu_pro,cctp_logit_linear_min_alpha,wrong_pressure,wrong_follow_rate,0.09,0.066,0.114,1000,42
llama31_8b,Llama-3.1-8B,mmlu_pro,cctp_logit_linear_min_alpha,wrong_pressure,mean_p_wrong,0.11068630104135437,0.09504176505777119,0.1269857672530365,1000,42
llama31_8b,Llama-3.1-8B,mmlu_pro,cctp_logit_linear_min_alpha,wrong_pressure,accuracy,0.414,0.37,0.458,1000,42
llama31_8b,Llama-3.1-8B,mmlu_pro,cctp_logit_linear_min_alpha,wrong_pressure,mean_p_correct,0.3516571328384291,0.31796130990680466,0.3855662702535696,1000,42
llama31_8b,Llama-3.1-8B,mmlu_pro,cctp_logit_linear_min_alpha,wrong_pressure,flattening_rate,0.0,0.0,0.0,1000,42
llama31_8b,Llama-3.1-8B,mmlu_pro,cctp_logit_linear_min_alpha,wrong_pressure,mean_KL_clean_projected,0.04363270640470382,0.040297106039223214,0.04685395905480732,1000,42
llama31_8b,Llama-3.1-8B,truthfulqa_mc,cctp_logit_linear_min_alpha,correct_pressure,mean_alpha,0.44894,0.419229,0.4767235,1000,42
llama31_8b,Llama-3.1-8B,truthfulqa_mc,cctp_logit_linear_min_alpha,correct_pressure,median_alpha,0.49,0.43,0.55,1000,42
llama31_8b,Llama-3.1-8B,truthfulqa_mc,cctp_logit_linear_min_alpha,correct_pressure,mean_history_retention,0.5510600000000001,0.522873,0.580861,1000,42
llama31_8b,Llama-3.1-8B,truthfulqa_mc,cctp_logit_linear_min_alpha,correct_pressure,fraction_alpha_le_050,0.506,0.46595000000000003,0.548,1000,42
llama31_8b,Llama-3.1-8B,truthfulqa_mc,cctp_logit_linear_min_alpha,correct_pressure,fraction_alpha_eq_1,0.004,0.0,0.01,1000,42
llama31_8b,Llama-3.1-8B,truthfulqa_mc,cctp_logit_linear_min_alpha,correct_pressure,clean_like_rate,1.0,1.0,1.0,1000,42
llama31_8b,Llama-3.1-8B,truthfulqa_mc,cctp_logit_linear_min_alpha,correct_pressure,wrong_follow_rate,0.128,0.098,0.158,1000,42
llama31_8b,Llama-3.1-8B,truthfulqa_mc,cctp_logit_linear_min_alpha,correct_pressure,mean_p_wrong,0.13117148396752623,0.10801692976867261,0.15624808548818975,1000,42
llama31_8b,Llama-3.1-8B,truthfulqa_mc,cctp_logit_linear_min_alpha,correct_pressure,accuracy,0.632,0.592,0.674,1000,42
llama31_8b,Llama-3.1-8B,truthfulqa_mc,cctp_logit_linear_min_alpha,correct_pressure,mean_p_correct,0.6051938739717854,0.5688842811138851,0.6413723264322323,1000,42
llama31_8b,Llama-3.1-8B,truthfulqa_mc,cctp_logit_linear_min_alpha,correct_pressure,flattening_rate,0.0,0.0,0.0,1000,42
llama31_8b,Llama-3.1-8B,truthfulqa_mc,cctp_logit_linear_min_alpha,correct_pressure,mean_KL_clean_projected,0.030073659456181803,0.027516084751411315,0.03292673895085728,1000,42
llama31_8b,Llama-3.1-8B,truthfulqa_mc,cctp_logit_linear_min_alpha,wrong_pressure,mean_alpha,0.4021799999999999,0.36839099999999997,0.43535349999999995,1000,42
llama31_8b,Llama-3.1-8B,truthfulqa_mc,cctp_logit_linear_min_alpha,wrong_pressure,median_alpha,0.435,0.27,0.5,1000,42
llama31_8b,Llama-3.1-8B,truthfulqa_mc,cctp_logit_linear_min_alpha,wrong_pressure,mean_history_retention,0.59782,0.5660094999999999,0.6299745000000001,1000,42
llama31_8b,Llama-3.1-8B,truthfulqa_mc,cctp_logit_linear_min_alpha,wrong_pressure,fraction_alpha_le_050,0.546,0.49995,0.59,1000,42
llama31_8b,Llama-3.1-8B,truthfulqa_mc,cctp_logit_linear_min_alpha,wrong_pressure,fraction_alpha_eq_1,0.008,0.002,0.016,1000,42
llama31_8b,Llama-3.1-8B,truthfulqa_mc,cctp_logit_linear_min_alpha,wrong_pressure,clean_like_rate,1.0,1.0,1.0,1000,42
llama31_8b,Llama-3.1-8B,truthfulqa_mc,cctp_logit_linear_min_alpha,wrong_pressure,wrong_follow_rate,0.128,0.102,0.15804999999999997,1000,42
llama31_8b,Llama-3.1-8B,truthfulqa_mc,cctp_logit_linear_min_alpha,wrong_pressure,mean_p_wrong,0.12076781183472114,0.0977238539232265,0.1454089068265498,1000,42
llama31_8b,Llama-3.1-8B,truthfulqa_mc,cctp_logit_linear_min_alpha,wrong_pressure,accuracy,0.632,0.588,0.67405,1000,42
llama31_8b,Llama-3.1-8B,truthfulqa_mc,cctp_logit_linear_min_alpha,wrong_pressure,mean_p_correct,0.6243816618302152,0.5902554070812531,0.6596654857197395,1000,42
llama31_8b,Llama-3.1-8B,truthfulqa_mc,cctp_logit_linear_min_alpha,wrong_pressure,flattening_rate,0.0,0.0,0.0,1000,42
llama31_8b,Llama-3.1-8B,truthfulqa_mc,cctp_logit_linear_min_alpha,wrong_pressure,mean_KL_clean_projected,0.02749968472906047,0.024647220588397703,0.030471411658932513,1000,42
mistral_7b,Mistral-7B,mmlu_pro,cctp_logit_linear_min_alpha,correct_pressure,mean_alpha,0.62522,0.5940715000000001,0.6568805,1000,42
mistral_7b,Mistral-7B,mmlu_pro,cctp_logit_linear_min_alpha,correct_pressure,median_alpha,0.78,0.725,0.82,1000,42
mistral_7b,Mistral-7B,mmlu_pro,cctp_logit_linear_min_alpha,correct_pressure,mean_history_retention,0.37477999999999995,0.3420835,0.4070205,1000,42
mistral_7b,Mistral-7B,mmlu_pro,cctp_logit_linear_min_alpha,correct_pressure,fraction_alpha_le_050,0.284,0.246,0.324,1000,42
mistral_7b,Mistral-7B,mmlu_pro,cctp_logit_linear_min_alpha,correct_pressure,fraction_alpha_eq_1,0.004,0.0,0.01,1000,42
mistral_7b,Mistral-7B,mmlu_pro,cctp_logit_linear_min_alpha,correct_pressure,clean_like_rate,1.0,1.0,1.0,1000,42
mistral_7b,Mistral-7B,mmlu_pro,cctp_logit_linear_min_alpha,correct_pressure,wrong_follow_rate,0.084,0.062,0.11,1000,42
mistral_7b,Mistral-7B,mmlu_pro,cctp_logit_linear_min_alpha,correct_pressure,mean_p_wrong,0.08592268538817907,0.06457811510185536,0.10993793427204654,1000,42
mistral_7b,Mistral-7B,mmlu_pro,cctp_logit_linear_min_alpha,correct_pressure,accuracy,0.326,0.286,0.366,1000,42
mistral_7b,Mistral-7B,mmlu_pro,cctp_logit_linear_min_alpha,correct_pressure,mean_p_correct,0.34963856483578387,0.3108200461337147,0.38721492184433753,1000,42
mistral_7b,Mistral-7B,mmlu_pro,cctp_logit_linear_min_alpha,correct_pressure,flattening_rate,0.0,0.0,0.0,1000,42
mistral_7b,Mistral-7B,mmlu_pro,cctp_logit_linear_min_alpha,correct_pressure,mean_KL_clean_projected,0.03170243554029617,0.02883741220098951,0.03456490463967971,1000,42
mistral_7b,Mistral-7B,mmlu_pro,cctp_logit_linear_min_alpha,wrong_pressure,mean_alpha,0.65908,0.6343759999999999,0.68742,1000,42
mistral_7b,Mistral-7B,mmlu_pro,cctp_logit_linear_min_alpha,wrong_pressure,median_alpha,0.76,0.71,0.79,1000,42
mistral_7b,Mistral-7B,mmlu_pro,cctp_logit_linear_min_alpha,wrong_pressure,mean_history_retention,0.34091999999999995,0.31339949999999994,0.368623,1000,42
mistral_7b,Mistral-7B,mmlu_pro,cctp_logit_linear_min_alpha,wrong_pressure,fraction_alpha_le_050,0.226,0.192,0.266,1000,42
mistral_7b,Mistral-7B,mmlu_pro,cctp_logit_linear_min_alpha,wrong_pressure,fraction_alpha_eq_1,0.004,0.0,0.01,1000,42
mistral_7b,Mistral-7B,mmlu_pro,cctp_logit_linear_min_alpha,wrong_pressure,clean_like_rate,1.0,1.0,1.0,1000,42
