model_key,model,dataset,condition,pressure_type,clean_like_rate,wrong_follow_rate,mean_p_wrong,accuracy,mean_p_correct,mean_entropy,mean_max_prob,flattening_rate
llama31_8b,Llama-3.1-8B,mmlu_pro,cctp_kl_projection_tau_005,wrong_pressure,1.0,0.128,0.11280569264407161,0.41,0.3467962518121691,1.223059190025747,0.5772825961786814,0.28
llama31_8b,Llama-3.1-8B,mmlu_pro,cctp_kl_projection_tau_010,correct_pressure,1.0,0.07,0.08035250238073377,0.49,0.3834061990969602,1.2271536805787664,0.5765253850116615,0.35
llama31_8b,Llama-3.1-8B,mmlu_pro,cctp_kl_projection_tau_010,wrong_pressure,1.0,0.16,0.12811614631638174,0.402,0.3409925216226369,1.2354552851208864,0.5717046372181496,0.324
llama31_8b,Llama-3.1-8B,mmlu_pro,cctp_logit_linear_min_alpha,correct_pressure,1.0,0.09,0.08241695799903398,0.414,0.38108292372699815,1.166230643876388,0.5979625130456311,0.0
llama31_8b,Llama-3.1-8B,mmlu_pro,cctp_logit_linear_min_alpha,wrong_pressure,1.0,0.09,0.11068630104135437,0.414,0.3516571328384291,1.18138702998803,0.5912772883071722,0.0
llama31_8b,Llama-3.1-8B,mmlu_pro,cctp_prob_linear_min_alpha,correct_pressure,1.0,0.09,0.08197489799285627,0.414,0.384339071725228,1.175623319357983,0.5938036325303879,0.0
llama31_8b,Llama-3.1-8B,mmlu_pro,cctp_prob_linear_min_alpha,wrong_pressure,1.0,0.09,0.11850347043019382,0.414,0.3476287606078969,1.1969201806131267,0.5847084127557404,0.0
llama31_8b,Llama-3.1-8B,mmlu_pro,cctp_tube_loose,correct_pressure,1.0,0.09,0.08125089709057348,0.414,0.3910804590175337,1.1610949834970918,0.5926711141349676,0.328
llama31_8b,Llama-3.1-8B,mmlu_pro,cctp_tube_loose,wrong_pressure,1.0,0.09,0.12242713865269476,0.414,0.34817404740050373,1.1833914518481565,0.5825130979986743,0.3
llama31_8b,Llama-3.1-8B,mmlu_pro,cctp_tube_main,correct_pressure,1.0,0.09,0.08241695799903398,0.414,0.38108292372699815,1.166230643876388,0.5979625130456311,0.0
llama31_8b,Llama-3.1-8B,mmlu_pro,cctp_tube_main,wrong_pressure,1.0,0.09,0.11068630104135437,0.414,0.3516571328384291,1.18138702998803,0.5912772883071722,0.0
llama31_8b,Llama-3.1-8B,mmlu_pro,cctp_tube_strict,correct_pressure,1.0,0.09,0.08314585406573796,0.414,0.37386511965304325,1.1675076876102604,0.5994042795462861,0.0
llama31_8b,Llama-3.1-8B,mmlu_pro,cctp_tube_strict,wrong_pressure,1.0,0.09,0.10222061121494837,0.414,0.35363277299733975,1.1776313204476703,0.5949696899710244,0.0
llama31_8b,Llama-3.1-8B,mmlu_pro,fresh_context_deletion,correct_pressure,1.0,0.09,0.08512578929966108,0.414,0.3537964205975369,1.1774046304814474,0.5903584258627645,0.0
llama31_8b,Llama-3.1-8B,mmlu_pro,fresh_context_deletion,wrong_pressure,1.0,0.09,0.08512578929966108,0.414,0.3537964205975369,1.1774046304814474,0.5903584258627645,0.0
llama31_8b,Llama-3.1-8B,mmlu_pro,ordinary_reset,correct_pressure,0.086,0.068,0.07041896629717405,0.548,0.4437923451871816,0.9828722434426997,0.6595725578855781,0.3
llama31_8b,Llama-3.1-8B,mmlu_pro,ordinary_reset,wrong_pressure,0.102,0.326,0.2669675275090834,0.324,0.2912802913198216,0.9821973372738674,0.6605850405585011,0.272
llama31_8b,Llama-3.1-8B,truthfulqa_mc,cctp_geometric_prob_min_alpha,correct_pressure,1.0,0.128,0.13117148396752623,0.632,0.6051938739717853,0.4241802600435262,0.8567569392758476,0.0
llama31_8b,Llama-3.1-8B,truthfulqa_mc,cctp_geometric_prob_min_alpha,wrong_pressure,1.0,0.128,0.12076781183472114,0.632,0.6243816618302152,0.388668733130683,0.8637772363874607,0.0
llama31_8b,Llama-3.1-8B,truthfulqa_mc,cctp_kl_projection_tau_005,correct_pressure,1.0,0.126,0.1323125263903661,0.636,0.5988907287227985,0.480187422508269,0.8325223647105101,0.522
llama31_8b,Llama-3.1-8B,truthfulqa_mc,cctp_kl_projection_tau_005,wrong_pressure,1.0,0.122,0.11800700286007858,0.644,0.6250353099907986,0.43187409892861806,0.8437929669808536,0.346
llama31_8b,Llama-3.1-8B,truthfulqa_mc,cctp_kl_projection_tau_010,correct_pressure,1.0,0.13,0.1357245083208635,0.632,0.5889555404051273,0.5292526550518912,0.8121386813341143,0.568
llama31_8b,Llama-3.1-8B,truthfulqa_mc,cctp_kl_projection_tau_010,wrong_pressure,1.0,0.118,0.11430543622860652,0.654,0.6297954992719071,0.45759330633921774,0.8314391446217394,0.392
llama31_8b,Llama-3.1-8B,truthfulqa_mc,cctp_logit_linear_min_alpha,correct_pressure,1.0,0.128,0.13117148396752623,0.632,0.6051938739717854,0.4241802600435262,0.8567569392758476,0.0
llama31_8b,Llama-3.1-8B,truthfulqa_mc,cctp_logit_linear_min_alpha,wrong_pressure,1.0,0.128,0.12076781183472114,0.632,0.6243816618302152,0.388668733130683,0.8637772363874607,0.0
llama31_8b,Llama-3.1-8B,truthfulqa_mc,cctp_prob_linear_min_alpha,correct_pressure,1.0,0.128,0.13052977014845626,0.632,0.604262659984008,0.43257257995684356,0.8532721759736097,0.0
llama31_8b,Llama-3.1-8B,truthfulqa_mc,cctp_prob_linear_min_alpha,wrong_pressure,1.0,0.128,0.12041407635654132,0.632,0.623993041158815,0.39320388509397,0.8625844343383713,0.0
llama31_8b,Llama-3.1-8B,truthfulqa_mc,cctp_tube_loose,correct_pressure,1.0,0.128,0.13278598368895145,0.632,0.600949522420691,0.4473544316343906,0.845002841989274,0.514
llama31_8b,Llama-3.1-8B,truthfulqa_mc,cctp_tube_loose,wrong_pressure,1.0,0.128,0.11811729013397847,0.632,0.6284457467191445,0.40154399243167144,0.8544261541393462,0.346
llama31_8b,Llama-3.1-8B,truthfulqa_mc,cctp_tube_main,correct_pressure,1.0,0.128,0.13117148396752623,0.632,0.6051938739717854,0.4241802600435262,0.8567569392758476,0.0
llama31_8b,Llama-3.1-8B,truthfulqa_mc,cctp_tube_main,wrong_pressure,1.0,0.128,0.12076781183472114,0.632,0.6243816618302152,0.388668733130683,0.8637772363874607,0.0
llama31_8b,Llama-3.1-8B,truthfulqa_mc,cctp_tube_strict,correct_pressure,1.0,0.128,0.12949451232301493,0.632,0.6086078375568382,0.4032960671469215,0.8633116159802514,0.0
llama31_8b,Llama-3.1-8B,truthfulqa_mc,cctp_tube_strict,wrong_pressure,1.0,0.128,0.12235631608831457,0.632,0.6216152784323505,0.37861019331428314,0.8680305647508969,0.0
llama31_8b,Llama-3.1-8B,truthfulqa_mc,fresh_context_deletion,correct_pressure,1.0,0.128,0.12594080077918918,0.632,0.6124169920734126,0.36530053708218974,0.8664331733351004,0.0
llama31_8b,Llama-3.1-8B,truthfulqa_mc,fresh_context_deletion,wrong_pressure,1.0,0.128,0.12594080077918918,0.632,0.6124169920734126,0.36530053708218974,0.8664331733351004,0.0
llama31_8b,Llama-3.1-8B,truthfulqa_mc,ordinary_reset,correct_pressure,0.236,0.12,0.13973276817460567,0.586,0.5403025719741495,0.5445409613258999,0.7882878503724147,0.504
llama31_8b,Llama-3.1-8B,truthfulqa_mc,ordinary_reset,wrong_pressure,0.382,0.05,0.06833180806894007,0.702,0.6696201746655394,0.4036851617167885,0.844692406605275,0.314
mistral_7b,Mistral-7B,mmlu_pro,cctp_geometric_prob_min_alpha,correct_pressure,1.0,0.084,0.08592268538817907,0.326,0.34963856483578387,0.4354245451007804,0.8412854693653367,0.0
